Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
Chile,El Divisadero,Solar,Punitaqui,3,Operativo,2016,Divisadero,Privado,Santiago de Chile (Chile),http://www.orion-power.com/proyecto-divisadero/,-30.84542977,-71.12841117
BRASIL,Cerro Chato,Eólica,Santana do Livramento (RS),217,Operativo,2011,Eletrosul,Estatal,Florianópolis (Brasil),http://www.eletrosul.gov.br/nosso-negocio/geracao/geracao,-30.78303864,-55.69057164
Chile,Las Mollacas,Solar,Ovalle,2.91,Operativo,2016,Las Mollacas Spa,Privado,Santiago de Chile (Chile),,-30.67517783,-71.22437523
Chile,La Chimba Bis,Solar,Ovalle,2.76,Operativo,2020,La Chimba Bis Spa,Privado,Santiago de Chile (Chile),https://www.openstreetmap.org/way/828005342#map=16/-30.6515/-71.2328,-30.6524,-71.2354
Chile,Amparo Del Sol,Solar,Ovalle,2.96,Operativo,2018,Parque Solar Amparo Del Sol Spa,Privado,Santiago de Chile (Chile),https://acesol.cl/component/spsimpleportfolio/item/156-amparo-del-sol.html#:~:text=Parque%20Solar%20Amparo%20del%20Sol.excedentes%20de%20energ%C3%ADa%20al%20SEN.,-30.61220625,-71.32855531
Chile,El Arrayán,Eólica,Ovalle,114.99,Operativo,2014,Parque Eólico El Arrayán,Privado,Santiago de Chile (Chile),http://energiaabierta.cl/electricidad/,-30.5793,-71.6981
Chile,Talhuén,Solar,Ovalle,3,Operativo,2018,Reden Talhuen Solar Spa,Privado,Santiago de Chile (Chile),http://www.orion-power.com/proyecto-talhuen/,-30.56042746,-71.25317017
Chile,Alturas De Ovalle,Solar,Ovalle,6,Operativo,2016,GR Huingan Spa,Privado,Santiago de Chile (Chile),http://www.diarioeldia.cl/tags/alturas-ovalle,-30.55569739,-71.23893328
Chile,La Chapeana,Solar,Ovalle,2.91,Operativo,2016,La Chapeana Spa,Privado,Santiago de Chile (Chile),,-30.5148111,-71.10871286
BRASIL,Palmares,Eólica,Palmares do sul (RS),57.5,Operativo,2010,Elecnor,Privado,Madrid (España),https://www.enerfin.es/parques-elicos-palmars-en,-30.450718,-50.388197
Uruguay,Alto Cielo,Solar,Artigas,26,Operativo,2016,Terraform Global,Privado,Miami (Estados Unidos),https://www.solarpack.es/pais/uruguay/,-30.4214,-57.4574
Uruguay,Juan Pablo Terra,Eólica,Artigas,67,Operativo,2014,UTE,Estatal,Montevideo (Uruguay),https://www.csa.com.uy/portfolio_page/parque-eolico-juan-pablo-terra/,-30.409,-56.6401
Argentina,Parque Solar Iglesia-Guañizuil,Solar,San Juan,80,Operativo,2019,Jinko Solar,Privado,Ciudad de Buenos Aires (Argentina),https://es.wikipedia.org/wiki/Parque_solar_Iglesia-Estancia_Gua%C3%B1izuil,-30.3551,-69.2914
BRASIL,Complexo Atlântica,Eólica,Palmares do Sul (RS),120,Operativo,2013/2014,CPFL Renováveis,Privado,São Paulo (Brasil),https://www.cpflrenovaveis.com.br/show.aspx?idCanal=ulgA66j6KNaWCurcD1PPCA==,-30.32652811,-50.32337885
Argentina,Parque de los Llanos,Solar,La Rioja,12,Operativo,2019,EFESA,Privado,Béccar (Argentina),http://revistanuevasenergias.com/2019/02/26/la-primera-etapa-del-parque-de-los-llanos-entro-en-operacion-comercial/,-30.2895,-66.3114
BRASIL,Pontal,Eólica,Viamão (RS),59.2,Operativo,2017,Oleoplan,Privado,Porto Alegre (Brasil),http://www.enerplan.eco.br/enerplan/quem-somos,-30.26484803,-50.78338279
Chile,Sdgx01,Solar,Andacollo,1.25,Operativo,2013,Sdgx01,Privado,Santiago de Chile (Chile),https://openinframap.org/stats/area/Chile/plants/724641374,-30.2270017,-71.09264199
BRASIL,Elebrás Cidreira 1,Eólica,Tramandaí (RS),70,Operativo,2011,CTG,Estatal,Beijing (China),https://www.ctgbr.com.br/portfolio-item/energia-eolica/,-30.07905905,-50.17205613
Chile,Tambo Real,Solar,Vicuña,3,Operativo,2012,Kaltemp,Privado,Santiago de Chile (Chile),https://www.sma.de/es/productos/referencias/tambo-real.html,-30.0484,-70.7702
BRASIL,Complexo Osório,Eólica,Osório (RS),318,Operativo,2006,Elecnor,Privado,Madrid (España),http://enerfin.com.br/br/#:~:text=Complexo%20E%C3%B3lico%20de%20Os%C3%B3rio%20(RS.refer%C3%AAncia%20internacional%20em%20desenvolvimento%20sEUAtent%C3%A1vel,-29.96309236,-50.28257195
Chile,Llanos De Potroso,Solar,La Serena,9,Operativo,2020,Llanos De Potroso Spa,Privado,Santiago de Chile (Chile),https://openinframap.org/stats/area/Chile/plants/-12769704,-29.7545,-70.86168
Argentina,Parque Eólico El Jume,Eólica,Santiago del Estero,8,Operativo,2017,ENERSE SAPEM,Estatal,Santiago del Estero (Argentina),https://www.energiaestrategica.com/los-proximos-dias-entrara-operaciones-parque-eolico-jume/,-29.4182,-63.71044
Chile,Punta Colorada,Eólica,La Higuera,20,Operativo,2011,Barrick Generación,Privado,Santiago de Chile (Chile),http://energiaabierta.cl/electricidad/,-29.3662,-71.0585
Argentina,Parque Solar Nonogasta,Solar,La Rioja,35,Operativo,2018,Fides Group S.A.,Privado,Ciudad de Buenos Aires (Argentina),https://www.energiaestrategica.com/ronda-3-san-luis-espera-adjudicar-el-cupo-maximo-que-le-otorga-la-licitacion-de-energias-renovables/,-29.3278,-67.4239
Chile,La Silla,Solar,La Higuera,1.53,Operativo,2016,Parque Eólico Renaico,Privado,Santiago de Chile (Chile),http://www.emb.cl/electroindustria/articulo.mvc?xid=2910&ni=innovador-parque-fotovoltaico-en-el-observatorio-la-silla,-29.25074626,-70.73665385
Chile,El Pelícano,Solar,La Higuera,105.03,Operativo,2018,El Pelícano Solar Spa,Privado,Santiago de Chile (Chile),https://www.wiki-solar.org,-29.14609332,-70.88013145
Chile,Santa Cecilia,Solar,Vallenar,3,Operativo,Indeterminado,Indeterminado,Indeterminado,Santiago de Chile (Chile),https://www.evwind.es/2015/03/19/top-10-biggest-solar-photovoltaic-projects-in-chile/51085,-29.1172,-70.9134
